Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8,Q9_1,VD1_1,VD2_1,VD2_2,VD2_3,VD2_4,VD2_5,TA
22,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Algunas veces al mes,Algunas veces al mes,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.)",3,5,Ligeramente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
33,Femenino,Doctorado,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces al mes,Algunas veces al año,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.)",1,10,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,
21,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Diariamente,Diariamente,Diariamente,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,7,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Observadas
31,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.)",5,7,Totalmente en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,
32,Masculino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Diariamente,Algunas veces al mes,Diariamente,Diariamente,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,6,Ligeramente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
22,Masculino,Educación Superior Técnica,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Nunca,Nunca,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",1,10,Ligeramente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Observadas
23,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces a la semana,Algunas veces al mes,Algunas veces a la semana,Algunas veces a la semana,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",8,2,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,Observadas
21,Femenino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Diariamente,Algunas veces al mes,Algunas veces al año,Diariamente,Algunas veces al año,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",3,8,Ni en acuerdo ni en desacuerdo,Ligeramente en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,
31,Femenino,Maestría,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Nunca,Algunas veces a la semana,Nunca,Algunas veces a la semana,Algunas veces al mes,"Recibe contenido político (información, memes, opiniones, etc.),Comparte contenido político (información, memes, opiniones, etc.)",7,6,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ligeramente de acuerdo,Ligeramente de acuerdo,Totalmente en desacuerdo,
28,Masculino,Educación Superior Universitaria,"Zona 3: Barranco, Jesús María, La Molina, Lince, Magdalena del Mar, Miraflores, Pueblo Libre, San Borja, San Isidro, San Miguel, Santiago de Surco y Surquillo",Algunas veces a la semana,Nunca,Nunca,Algunas veces a la semana,Nunca,"Recibe contenido político (información, memes, opiniones, etc.)",1,10,Ligeramente de acuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni en acuerdo ni en desacuerdo,Totalmente en desacuerdo,Observadas
